iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped,totalAssertions,executedCount,failedCount,skippedCount
"1","Sendinblue","Get all Companies","GET","https://api.sendinblue.com/v3/companies?filters=1&linkedContactsIds=1&linkedDealsIds=1&page=1&limit=55&sort=desc&sortBy=1&x-api-key=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","Bad Request","400","1078","64",,,,"0","0","0","0"
"1","Sendinblue","Create a company","POST","https://api.sendinblue.com/v3/companies","OK","200","451","34","This test is to verify that the response has all the  field , Id should not be an empty string, This test is to verify that the the response time should be less than 1000ms, This test is to verify that the Response body is in JSON format, Response time is less than 1000ms",,,"5","5","0","0"
"1","Sendinblue","Get company attributes","GET","https://api.sendinblue.com/v3/companies/attributes","OK","200","616","1719","Verify that the 'internalName' field is a non-empty string, Verify that the attributeTypeName field is a non-empty string, Verify that the 'required' field is a boolean value, Response time is less than 1000ms",,,"4","4","0","0"
"1","Sendinblue","Link and Unlink company with contact and deal","PATCH","https://api.sendinblue.com/v3/companies/link-unlink/veniam elit in","Bad Request","400","257","31",,,,"0","0","0","0"
"1","Sendinblue","Get a company","GET","https://api.sendinblue.com/v3/companies/655fb17bab1b1e06aef6ca05","OK","200","406","819","This test is to verify that the Id is a not an empty string,  This test is to verify that the attributes exist and includes all keys, LinkedContactsIds array is present and contains expected number of elements, LinkedContactsIds array is present and contains expected number of elements, LinkedDealsIds array is present and contains expected number of elements, Response time is less than 1000ms",,,"6","6","0","0"
"1","Sendinblue","Create a company","POST","https://api.sendinblue.com/v3/companies","OK","200","510","34","This test is to verify that the response has all the  field , Id should not be an empty string, This test is to verify that the the response time should be less than 1000ms, This test is to verify that the Response body is in JSON format, Response time is less than 1000ms",,,"5","5","0","0"
"1","Sendinblue","Delete a company","DELETE","https://api.sendinblue.com/v3/companies/:id","Bad Request","400","306","32",,,,"0","0","0","0"
"1","Sendinblue","Update a company","PATCH","https://api.sendinblue.com/v3/companies/655fd0634d83740dfe4308eb","No Content","204","457","0","This test is to verify that the company is updated, Response time is less than 1000ms",,,"2","2","0","0"
"1","Sendinblue","Get pipeline stages","GET","https://api.sendinblue.com/v3/crm/pipeline/details","OK","200","465","542","Pipeline and pipeline_name fields are present, Each stage's id is in a valid format, Response time is less than 1000ms","Stages array is present and contains the expected number of elements",,"4","3","1","0"
"1","Sendinblue","Get all deals","GET","https://api.sendinblue.com/v3/crm/deals?filter[attributes]=veniam elit in&filter[linkedCompaniesIds]=veniam elit in&filter[linkedContactsIds]=veniam elit in&offset=13396752","OK","200","385","9536",,,,"0","0","0","0"
"1","Sendinblue","Create a deal","POST","https://api.sendinblue.com/v3/crm/deals","Bad Request","400","525","52","Response time is less than 1000ms","Response has the 'id' field, The 'id' field is a non-empty string, The id field is in the correct format",,"4","1","3","0"
"1","Sendinblue","Link and Unlink a deal with contacts and companies","PATCH","https://api.sendinblue.com/v3/crm/deals/link-unlink/655fd4d0e122b6bf37823e71","Bad Request","400","406","28",,,,"0","0","0","0"
"1","Sendinblue","Get deal attributes","GET","https://api.sendinblue.com/v3/crm/attributes/deals","OK","200","1229","4629",,,,"0","0","0","0"
"1","Sendinblue","Get a deal","GET","https://api.sendinblue.com/v3/crm/deals/:id","Bad Request","400","528","78",,,,"0","0","0","0"
"1","Sendinblue","Delete a deal","DELETE","https://api.sendinblue.com/v3/crm/deals/:id","Bad Request","400","256","46",,,,"0","0","0","0"
"1","Sendinblue","Update a deal","PATCH","https://api.sendinblue.com/v3/crm/deals/veniam elit in","Bad Request","400","439","46",,,,"0","0","0","0"
"1","Sendinblue","Get all tasks","GET","https://api.sendinblue.com/v3/crm/tasks?limit=50&sort=desc&sortBy=name","OK","200","1081","7886","Response status code is 200, Validate the format of the 'createdAt' field in each item, Verify the presence of the 'pager' object and its properties",,,"3","3","0","0"
"1","Sendinblue","Create a task","POST","https://api.sendinblue.com/v3/crm/tasks","Created","201","1341","62","Response status code is 201, Response has the required fields - id and priority, ID is a non-empty string, Priority is a boolean value","Response time is in an acceptable range",,"5","4","1","0"
"1","Sendinblue","Get all task types","GET","https://api.sendinblue.com/v3/crm/tasktypes","OK","200","1420","485","Response status code is 200, Validate the response schema for each task type object, Each task type object has a non-empty 'id' field, Each task type object has a non-empty 'title' field, Each task type object's 'id' field is a valid ObjectId format",,,"5","5","0","0"
"1","Sendinblue","Get a task","GET","https://api.sendinblue.com/v3/crm/tasks/65636d4d8e0c893e6f0e2cb5","OK","200","1128","255","Response status code is 200, Task ID is a non-empty string, Task type ID is a non-empty string, Name is a non-empty string",,,"4","4","0","0"
"1","Sendinblue","Delete a task","DELETE","https://api.sendinblue.com/v3/crm/tasks/655b6f93acd26807eb763a26","Not Found","404","1215","39",,,,"0","0","0","0"
"1","Sendinblue","Update a task","PATCH","https://api.sendinblue.com/v3/crm/tasks/655b6f93acd26807eb763a22","Not Found","404","1050","39",,,,"0","0","0","0"
"1","Sendinblue","Get all notes","GET","https://api.sendinblue.com/v3/crm/notes?entity=deals&entityIds=100&limit=50&sort=desc","Bad Request","400","436","69",,,,"0","0","0","0"
"1","Sendinblue","Create a note","POST","https://api.sendinblue.com/v3/crm/notes","Created","201","337","484","Response status code is 201, Id field is not empty, Text field is a non-empty string, CompanyIds array is present and not empty",,,"4","4","0","0"
"1","Sendinblue","Get a note","GET","https://api.sendinblue.com/v3/crm/notes/655fb17bab1b1e06aef6ca05","Not Found","404","309","38",,"Text field must be a non-empty string, ContactIds array is present and contains expected number of elements, Author object contains required fields - email, timezone, and name, CreatedAt field is in a valid date format",,"4","0","4","0"
"1","Sendinblue","Update a note","PATCH","https://api.sendinblue.com/v3/crm/notes/65683865e9b135555c0ced09","OK","200","3261","423","Id field should not be empty, Text field is not empty, CompanyIds array should be present and not empty, DealIds array should be present and empty",,,"4","4","0","0"
"1","Sendinblue","Delete a note","DELETE","https://api.sendinblue.com/v3/crm/notes/6568474a4f91417d3133ee9d","Bad Request","400","411","32",,"Deleted",,"1","0","1","0"
"1","Sendinblue","Get all files","GET","https://api.sendinblue.com/v3/crm/files?entity=deals&limit=50&sort=desc","OK","200","538","3",,,,"0","0","0","0"
"1","Sendinblue","Upload a file","POST","https://api.sendinblue.com/v3/crm/files","Bad Request","400","399","31",,,,"0","0","0","0"
"1","Sendinblue","Download a file","GET","https://api.sendinblue.com/v3/crm/files/veniam elit in","Bad Request","400","503","81",,,,"0","0","0","0"
"1","Sendinblue","Delete a file","DELETE","https://api.sendinblue.com/v3/crm/files/veniam elit in","Bad Request","400","421","212",,,,"0","0","0","0"
"1","Sendinblue","Get file details","GET","https://api.sendinblue.com/v3/crm/files/1/data","Bad Request","400","328","152",,,,"0","0","0","0"
"1","Sendinblue","Get an email campaign report","GET","https://api.sendinblue.com/v3/emailCampaigns/9","OK","200","537","26538","Sender object must exist and be an object, Recipients object contains expected lists and exclusion lists, Statistics object contains expected global and campaign stats",,,"3","3","0","0"
